team_name,home_matches,home_wins,home_draws,home_losses,home_goals_scored,home_goals_conceded,home_win_pct,away_matches,away_wins,away_draws,away_losses,away_goals_scored,away_goals_conceded,away_win_pct,home_advantage,total_matches
Fulham,57,19,11,27,71,81,33.33,57,14,17,26,66,86,24.56,8.77,114
Crystal Palace,76,28,24,24,105,98,36.84,76,19,21,36,83,121,25.0,11.84,152
Liverpool,76,53,15,8,173,63,69.74,76,38,22,16,150,93,50.0,19.74,152
West Ham,76,34,21,21,122,100,44.74,76,26,12,38,102,127,34.21,10.53,152
Tottenham,76,48,5,23,148,91,63.16,76,30,20,26,133,118,39.47,23.68,152
West Brom,19,3,6,10,15,39,15.79,19,2,5,12,20,37,10.53,5.26,38
Brighton,76,27,26,23,108,93,35.53,76,24,23,29,101,112,31.58,3.95,152
Sheffield United,38,7,5,26,31,84,18.42,38,3,4,31,24,83,7.89,10.53,76
Arsenal,76,50,11,15,160,79,65.79,76,44,10,22,135,80,57.89,7.89,152
Man United,76,44,15,17,137,88,57.89,76,34,18,24,108,114,44.74,13.16,152
Leeds,57,17,18,22,73,96,29.82,57,17,8,32,79,115,29.82,0.0,114
Everton,76,29,13,34,89,98,38.16,76,20,22,34,75,124,26.32,11.84,152
Southampton,57,16,15,26,70,86,28.07,57,11,12,34,56,122,19.3,8.77,114
Newcastle,76,37,21,18,137,96,48.68,76,25,18,33,106,123,32.89,15.79,152
Chelsea,76,35,24,17,132,85,46.05,76,34,17,25,117,94,44.74,1.32,152
Leicester,57,24,9,24,91,80,42.11,57,19,14,24,90,97,33.33,8.77,114
Aston Villa,76,37,15,24,139,105,48.68,76,30,13,33,95,102,39.47,9.21,152
Wolves,76,31,13,32,86,100,40.79,76,20,17,39,69,118,26.32,14.47,152
Burnley,57,11,16,30,51,95,19.3,57,11,16,30,57,91,19.3,0.0,114
Man City,76,59,10,7,212,65,77.63,76,53,13,10,160,60,69.74,7.89,152
Brentford,57,22,17,18,86,73,38.6,57,16,13,28,76,94,28.07,10.53,114
Norwich,19,3,3,13,12,43,15.79,19,2,4,13,11,41,10.53,5.26,38
Watford,19,2,2,15,17,46,10.53,19,4,3,12,17,31,21.05,-10.53,38
Bournemouth,38,13,10,15,47,56,34.21,38,11,5,22,44,82,28.95,5.26,76
Nott'm Forest,38,13,11,14,54,54,34.21,38,5,9,24,33,81,13.16,21.05,76
Luton,19,4,4,11,28,37,21.05,19,2,4,13,24,48,10.53,10.53,38
